event_id,category,system,scoring_bucket,score_for_recall,score_for_precision,n_predicted,n_affected_total,n_affected_reachable,tp,tp_reachable,fp,tp_names,fp_names,missed_names
8_exxon_mobil_2005,natural_disaster,B,D,False,True,10,4,0,0,0,10,[],"['alfa sab de cv', 'dongsung chemical', 'general motors', 'indian oil', 'jiangsu lopal tech', 'jordan petroleum refinery', 'lg chem', 'mercedes-benz', 's-oil', 'volkswagen']","['air products and chemicals', 'cf industries']"
9_xinxiang_tianli_energy_2021,natural_disaster,B,D,False,True,3,5,0,0,0,3,[],"['byd', 'calb', 'eve energy']","['fedex', 'hon hai precision industry', 'nissan motor', 'saic motor']"
20_formosa_petrochemical_2019,industrial_accident,B,C,False,False,14,1,1,1,1,13,['formosa chemicals & fibre'],"['bp', 'dl holdings co lirl', 'formosa plastics', 'glencore', 'jiangsu lopal tech', 'jsr', 'nan ya plastics', 'petrochina', 'shell', 'sumitomo chemical', 'taita chemical', 'taiwan cement', 'zeon']",[]
21_mitsubishi_materials_2014,industrial_accident,B,C,True,True,6,1,1,0,0,6,[],"['asahi kasei', 'denso', 'kobe steel', 'mitsubishi electric', 'schaeffler', 'sumitomo electric industries']",['sumco']
23_s_oil_2022,industrial_accident,B,A,False,True,0,0,0,0,0,0,[],[],[]
35_gazprom_pjsc_2022,geopolitical_policy,B,B,True,True,3,6,2,0,0,3,[],"['eni', 'saudi arabian oil', 'united co rusal international pjsc']","['alcoa', 'arcelormittal', 'norsk hydro asa', 'nyrstar', 'yara international asa']"
36_basf_se_2022,energy,B,A,False,False,30,0,0,0,0,30,[],"['3m', 'akzo nobel', 'avient', 'axalta coating systems', 'bayerische motoren werke', 'byd', 'corteva', 'cummins', 'dongsung chemical', 'farasis energy gan zhou', 'ford motor', 'gazprom pjsc', 'general motors', 'grupo antolin-irausa', 'grupo pochteca sab de cv', 'guangdong delian', 'hansol chemical', 'honda motor', 'lanxess', 'lg chem', 'mobase electronics', 'ningbo shanshan', 'nissan motor', 'saic motor', 'samsung sdi', 'schaeffler', 'subaru', 'tata motors', 'toagosei', 'volkswagen']",[]
49_xiamen_tungsten_2010,geopolitical_policy,B,A,False,False,12,0,0,0,0,12,[],"['byd', 'calb', 'contemporary amperex technology', 'gotion high-tech', 'hunan corun new energy', 'murata manufacturing', 'panasonic', 'samsung sdi', 'sumitomo electric industries', 'sunwoda electronic', 'tdk', 'zhejiang founder motor']",[]
50_aneka_tambang_tbk_2020,geopolitical_policy,B,A,False,True,8,0,0,0,0,8,[],"['glencore', 'krakatau steel persero tbk pt', 'mitsui', 'perusahaan perseroan persero pt perusahaan listrik negara', 'posco', 'seah', 'seah besteel', 'waskita karya persero tbk pt']",[]
10_hesteel_2023,natural_disaster,B,A,False,True,10,0,0,0,0,10,[],"['aluminum corp of china', 'arcelormittal', 'bayerische motoren werke', 'beijing shougang', 'chongqing changan automobile', 'ford motor', 'great wall motor', 'mercedes-benz', 'posco', 'toyota motor']",[]
11_aurizon_2010,natural_disaster,B,B,True,True,5,11,3,2,2,3,"['bhp', 'rio tinto']","['bp', 'coronado global resources', 'glencore']","['arcelormittal', 'peabody energy', 'vale']"
24_bp_2010,industrial_accident,B,D,False,True,11,3,0,0,0,11,[],"['cpc corp/taiwan', 'formosa petrochemical', 'grupo pochteca sab de cv', 'guangdong delian', 'guangzhou development', 'indian oil', 'jordan petroleum refinery', 'lg chem', 'posco', 'ternium', 'volkswagen']",[]
25_petrochina_2005,industrial_accident,B,A,False,True,5,0,0,0,0,5,[],"['china petroleum & chemical', 'formosa plastics', 'guangzhou development', 'perusahaan perseroan persero pt perusahaan listrik negara', 'shanghai huayi']",[]
38_perusahaan_perseroan_persero_pt_perusahaan_listrik_negara_2019,energy,B,C,True,True,5,6,1,0,0,5,[],"['aneka tambang tbk', 'gunung raja paksi tbk pt', 'krakatau steel persero tbk pt', 'medco energi internasional tbk pt', 'waskita karya persero tbk pt']",['indosat tbk pt']
40_state_grid_corp_of_china_2021,energy,B,D,False,True,1,5,0,0,0,1,[],['hesteel'],['unimicron technology']
41_yunnan_aluminium_2022,energy,B,A,False,True,6,0,0,0,0,6,[],"['aluminum corp of china', 'bayerische motoren werke', 'contemporary amperex technology', 'nio', 'volvo car ab', 'yunnan chihong zinc&germanium']",[]
54_yunnan_chihong_zinc_germanium_2023,geopolitical_policy,B,D,False,True,0,1,0,0,0,0,[],[],[]
57_united_co_rusal_international_pjsc_2018,geopolitical_policy,B,D,False,True,2,5,0,0,0,2,[],"['gazprom pjsc', 'glencore']","['constellium se', 'rio tinto']"
59_coronado_global_resources_2020,geopolitical_policy,B,C,True,True,2,4,1,1,1,1,['aurizon'],['tata steel'],['peabody energy']
