company_a,company_b,similarity_score,decision,canonical_name
gmb,gmb korea,100.0,reject,
benxi beiying iron & steel,benxi iron & steel,100.0,reject,
benxi iron & steel,benxi iron & steel international economic & trading,100.0,reject,
berjing shougang,shougang,100.0,reject,
guangdong xinhui meida nylon,guangdong xinhui meida nylon co lid,100.0,approve,guangdong xinhui meida nylon
bhp,bhp billiton mitsubishi alliance,100.0,reject,
gonvauto,gonvauto navarra,100.0,reject,
grupa azoty,grupa azoty zaklady chemiczne police,100.0,reject,
groupement sonatrach agip,sonatrach,100.0,reject,
bhp billiton mitsubishi alliance,mitsubishi,100.0,reject,
great plains industries,great plains ventures,100.0,reject,
gonvauto,gonvauto thueringen,100.0,reject,
byd,byd electronic international,100.0,reject,
engie,engie energia peru,100.0,reject,
engie,engie energia chile,100.0,reject,
bup billion mitsubishi alliance,mitsubishi,100.0,reject,
fuji,fuji kosan,100.0,reject,
fuji,fuji oil,100.0,reject,
fuji,fuji ps,100.0,reject,
fuji,fuji seiko,100.0,reject,
alpha,ljg green source energy alpha srl,100.0,reject,
bumi resources minerals tbk pt,bumi resources tbk pt,100.0,reject,
fuji,fuji corp/aichi,100.0,reject,
fuji,fuji hensokuki,100.0,reject,
bp,lightsource bp,100.0,reject,
freightliner,freightliner trucks,100.0,reject,
bx steel posco cold rolled sheet,posco,100.0,reject,
aluminum corp of china,power construction corp of china,100.0,reject,
freeport indonesia pt,freeport indonesia pt/delaware,100.0,reject,
fuji,fuji furukawa engineering & construction,100.0,reject,
alpha,zero alpha solutions,100.0,reject,
bridgestone,brisa bridgestone sabanci sanayi ve ticaret as,100.0,reject,
engie,engie brasil energia,100.0,reject,
beijing shougang construction,beijing shougang international engineering technolog,100.0,reject,
aneka tambang ibk,aneka tambang tbk,100.0,approve,aneka tambang tbk
changan ford automobile,china changan automobile,100.0,reject,
changqing changan automobile,china changan automobile,100.0,reject,
enel chile,enel generacion chile,100.0,reject,
enel chile,enel distribucion chile,100.0,reject,
enel,enel generacion piura,100.0,reject,
enel,enel generacion peru saa,100.0,reject,
fuji,fuji die,100.0,reject,
enel,enel generacion costanera,100.0,reject,
enel,enel generacion chile,100.0,reject,
byd,byd motors,100.0,reject,
alumium corp of china,power construction corp of china,100.0,reject,
chiyoda,chiyoda ute,100.0,reject,
braskem,braskem idesa sapi,100.0,reject,
guangzhou great power energy & technology,guangzhou great power energy w technology,100.0,approve,guangzhou great power energy & technology
beijing shougang lujiashan limestone mine,shougang,100.0,reject,
guangzhou industrial investment,guangzhou industrial investment holding,100.0,reject,
enel,enel distribucion peru saa,100.0,reject,
china wire & cable,hua eng wire & cable,100.0,reject,
beijing automotive,beijing benz automotive,100.0,reject,
cummins,cummins india,100.0,reject,
csp - co siderurgica do pecem,csp co siderurgica do pecem,100.0,approve,csp co siderurgica do pecem
ansteel,ansteel group mining,100.0,reject,
chevron,chevron lubricants lanka,100.0,reject,
fujikura,fujikura kasei,100.0,reject,
daedong,daedong metals,100.0,reject,
boeing,boeing co/the,100.0,approve,the boeing company
borealis,borealis brasil,100.0,reject,
agnico eagle mines,eagle,100.0,reject,
borouge,borouge pte,100.0,reject,
aichi,aichi tokei denki,100.0,reject,
general motors,said general motors,100.0,approve,general motors
china wire & cable,hold-key electric wire & cable,100.0,reject,
be max trading,max,100.0,reject,
aikoku alpha,alpha,100.0,reject,
china three gorges,chongqing three gorges water conservancy & electric power,100.0,reject,
china southern power grid,china southern power grid energy efficiency & clean energy,100.0,reject,
china southern power grid,china southern power grid energy storage,100.0,reject,
barito pacific thk pt,thk,100.0,reject,
denso,denso corp oz,100.0,approve,denso
denka,kanto denka kogyo,100.0,reject,
china three gorges,china three gorges renewables,100.0,reject,
china wire & cable,dah san electric wire & cable,100.0,reject,
daeduck,daeduck electronics co ltd / new,100.0,reject,
cs,cs wind,100.0,reject,
china wire & cable,electric wire & cable,100.0,reject,
daicel,daicel carp,100.0,approve,daicel corp
china wire & cable,evertop wire cable,100.0,reject,
dah san electric wire & cable,electric wire & cable,100.0,reject,
beijing shougang,shougang,100.0,reject,
general motors,saic general motors,100.0,reject,
bosch,robert bosch,100.0,reject,
guangzhou jfe steel sheet,jfe,100.0,reject,
