node,industry,country,in_degree,out_degree,word_count,decision
gansu jiu steel group hongxing iron & steel,Steel,China,3,0,8,
ganzhou teng yuan cobalt new material,Metals & Mining,China,2,5,6,
garuda indonesia persero tbk pt,Transportation & Logistics,Indonesia,2,0,5,
gazprom gazoraspredelenie saratovskaya oblast oao,Gas & Water Utilities,Russia,1,0,5,
general electricity co of libya,Electric Utilities,Libyan Arab Jamahiriya,1,0,5,
gestion global de matriceria sl,Machinery,Spain,1,0,5,
gestore dei servizi energetici- gse,Electric Utilities,Italy,1,0,5,
getrag getriebe-u zahnradfabrik hermann hagenmeyer gmbh & cie,Automotive,Germany,1,0,8,
gonvarri corp financiera sociedad ltda,Steel,Spain,1,0,5,
gonvarri i centro de servicios sl,Industrial Intermediate Prod,Spain,1,0,6,
goodyear tire & rubber co/the,Automotive,USA,7,0,5,
grupa azoty zaklady chemiczne police,Chemicals,Poland,3,0,5,
grupo aeroportuario del sureste sab de cv,Transportation & Logistics,Mexico,1,0,7,
grupo idesa sa de cv,Chemicals,Mexico,1,0,5,
grupo industrial saltillo sab de cv,Automotive,Mexico,6,11,6,
grupo pochteca sab de cv,Chemicals,Mexico,14,50,5,
grupo remolques del norte sa de cv,Automotive,Spain,1,0,7,
grupo rotoplas sab de cv,Machinery,Mexico,3,1,5,
grupo simec sab de cv,Steel,Mexico,7,22,5,
guam power authority,Electric Utilities,USA,1,1,3,
guangdong dongfang precision science & technology,Machinery,China,2,1,6,
guangdong electric power industry fuel,Metals & Mining,China,1,1,5,
guangdong ji duo bao can making,Metals & Mining,China,1,0,6,
guangdong zhongnan iron & steel,Steel,China,3,0,5,
guangzhou gangfa petroleum chemical dock,Transportation & Logistics,China,1,1,5,
guangzhou great power energy & technology,Renewable Energy,China,4,0,6,
guiyang zhenxing aluminium & magnesium technology industry development,Machinery,China,1,0,8,
gujarat narmada valley fertilizers & chemicals,Chemicals,India,1,0,6,
gujarat state fertilizers & chemicals,Chemicals,India,1,0,5,
gunawan dianjaya steel tbk pt,Steel,Indonesia,2,0,5,
gunung raja paksi tbk pt,Steel,Indonesia,4,4,5,
hai phong thermal power jsc,Electric Utilities,Vietnam,1,0,5,
handan gangtie group equipment manufacturing installation,Engineering & Construction,China,1,0,6,
handan iron & steel group import & export,Metals & Mining,China,1,0,8,
handan steel group hengshui cold rolling steel,Steel,China,1,0,7,
hangzhou gaoxin rubber & plastic materials,Chemicals,China,1,0,6,
hanjin heavy industries & construction,Gas & Water Utilities,South Korea,1,1,5,
haohua chemical science & technology,Chemicals,China,2,10,5,
harbin electric corp jiamusi electric machine,Machinery,China,1,0,6,
hd hyundai and shell base oil,Oil & Gas Producers,South Korea,1,0,6,
hd korea shipbuilding & offshore engineering,Transportation Equipment,South Korea,8,8,6,
hdc hyundai development co-engineering & construction,Engineering & Construction,South Korea,1,1,6,
hebei iron & steel group mining,Metals & Mining,China,1,0,6,
hebei iron & steel group songting iron & steel,Steel,China,1,0,9,
hella gmbh & co kgaa,Automotive,Germany,1,0,5,
henan shenhuo coal & power,Metals & Mining,China,2,0,5,
henan shenma chlorine alkali development,Chemicals,China,1,0,5,
henan shenma nylon chemical industry,Chemicals,China,1,0,5,
henan yuguang gold & lead,Metals & Mining,China,2,1,5,
heyuan city urban development investment,Engineering & Construction,China,1,0,5,
hicom-honda manufacturing malaysia sdn bhd,Automotive,Malaysia,1,0,5,
hitachi air-conditioning & refrigerating products gua,Electrical Equipment,China,1,0,6,
hmt xiamen new technical materials,Automotive,China,2,0,5,
hoberg & driesch gmbh & co kg roehrengrosshandel,Steel,Germany,1,0,8,
hold-key electric wire & cable,Electrical Equipment,Taiwan,1,0,5,
hong kong & china gas,Gas & Water Utilities,China,1,1,5,
howon elementary school adjacent district reconstruction union,Engineering & Construction,South Korea,2,0,7,remove
