node,industry,country,in_degree,out_degree,flag_reason,decision
mainstrument,Electrical Equipment,USA,1,0,low degree,
makishinko,Machinery,Japan,1,0,low degree,
malabar cements,Construction Materials,India,1,0,low degree,
malakoff corp bhd,Electric Utilities,Malaysia,1,0,low degree,
malaysia airports holdings bhd,Transportation & Logistics,Malaysia,1,0,low degree,
malaysian npk fertilizer sdn bhd,Chemicals,Malaysia,1,0,low degree,
malaysian refining co sdn bhd,Oil & Gas Producers,Malaysia,1,0,low degree,
mamiya-op,Machinery,Japan,1,0,low degree,
manchester airport,Transportation & Logistics,UK,1,0,low degree,
manho rope & wire,Industrial Intermediate Prod,South Korea,1,0,low degree,
mannoh industrial,Automotive,Japan,1,0,low degree,
mansarovar energy colombia,Oil & Gas Producers,Bermuda,1,0,low degree,
manufacturera de ciguenales de mexico sa de cv,Automotive,Mexico,1,0,low degree,
maoming petro-chemical shihua,Chemicals,China,1,0,low degree,
maquinados automotrices y talleres industriales de celaya sa de cv,Industrial Intermediate Prod,Mexico,1,0,low degree,
marathon industries,Transportation Equipment,USA,1,0,low degree,
marelli sistemas automotivos industria e comercio brasil ltda,Automotive,Brazil,1,0,low degree,
marga sarana jabar pt,Engineering & Construction,Indonesia,1,0,low degree,
mari petroleum,Oil & Gas Producers,Pakistan,1,0,low degree,
marikana (psa),Mine,South Africa,0,1,low degree,
mark dynamics indonesia tbk pt,Industrial Intermediate Prod,Indonesia,1,0,low degree,
martas precision slide,Industrial Intermediate Prod,Taiwan,1,0,low degree,
marten transport,Transportation & Logistics,USA,1,0,low degree,
martin marietta materials,Construction Materials,USA,1,0,low degree,
martinrea international,Automotive,Canada,1,0,low degree,
maruishi chemical trading,Chemicals,Japan,1,0,low degree,
marula,Mine,South Africa,0,1,low degree,
maruo calcium,Chemicals,Japan,1,0,low degree,
maruwa co ltd/aichi,Technology Hardware,Japan,1,0,low degree,
maruzen co ltd/taito ward,Machinery,Japan,1,0,low degree,
maruzen showa unyu,Transportation & Logistics,Japan,1,0,low degree,
masinloc power partners,Electric Utilities,Philippines,1,0,low degree,
mass energy group holding,Electric Utilities,Cayman Islands,1,0,low degree,
mastermelt,Metals & Mining,UK,1,0,low degree,
matador mining,Metals & Mining,Australia,1,0,low degree,
matay otomotiv yan sanayi ve tic as,Automotive,Turkey,1,0,low degree,
materials petroleum jsc,Oil & Gas Producers,Vietnam,1,0,low degree,
mattr,Oil & Gas Services & Equip,Canada,1,0,low degree,
maverix metals,Metals & Mining,Canada,1,0,low degree,
maxiparts,Transportation Equipment,Australia,1,0,low degree,
mb power madhya pradesh,Electric Utilities,India,1,0,low degree,
mbl infrastructure,Engineering & Construction,India,1,0,low degree,
mc solution,Electrical Equipment,South Korea,1,0,low degree,
mcc liaoning dragon pipe industries,Steel,China,1,0,low degree,
mccarran international airport,Transportation & Logistics,USA,1,0,low degree,
mcs steel pcl,Steel,Thailand,1,0,low degree,
md helicopters,Aerospace & Defense,USA,1,0,low degree,
mdu resources,Construction Materials,USA,1,0,low degree,
medco daya abadi lestari pt,Oil & Gas Producers,Indonesia,1,0,low degree,
medikit,Medical Equipment & Devices,Japan,1,0,low degree,
mega steel & tube,Steel,USA,1,0,low degree,
megachips,Semiconductors,Japan,1,0,low degree,
megha engineering & infrastructures,Engineering & Construction,India,1,0,low degree,
meghmani organics ltd/in,Chemicals,India,1,0,low degree,
meglobal,Chemicals,Netherlands,1,0,low degree,
meglobal canada ulc,Chemicals,Canada,1,0,low degree,
meihua,Chemicals,China,1,0,low degree,
meiko construction,Engineering & Construction,Japan,1,0,low degree,
meiko electronics,Technology Hardware,Japan,1,0,low degree,
meiko trans,Transportation & Logistics,Japan,1,0,low degree,
meindo elang indah pt,Engineering & Construction,Indonesia,1,0,low degree,
meisei industrial,Engineering & Construction,Japan,1,0,low degree,
melfas,Technology Hardware,South Korea,0,1,low degree,
mellitah oil & gas bb,Oil & Gas Services & Equip,Italy,1,0,low degree,
melon,Construction Materials,Spain,1,0,low degree,
menicon,Medical Equipment & Devices,Japan,1,0,low degree,
mercedes benz,Automotive,Germany,1,0,low degree,
merchandise warehouse,Transportation & Logistics,USA,1,0,low degree,
mercuria energy trading pte,Oil & Gas Producers,Singapore,1,0,low degree,
mercury systems,Aerospace & Defense,USA,1,0,low degree,
meridian bioscience,Medical Equipment & Devices,USA,1,0,low degree,
mesa air,Transportation & Logistics,USA,1,0,low degree,
mesa air groun,Transportation & Logistics,USA,1,0,low degree,
mesabi trust,Metals & Mining,USA,1,0,low degree,
meta epsi pt,Engineering & Construction,Indonesia,1,0,low degree,
metallifer mf ltee,Steel,Canada,1,0,low degree,
metalloinvest holding co oao,Metals & Mining,Russia,1,0,low degree,
methode electronics,Automotive,USA,1,0,low degree,
metinvest international,Metals & Mining,Switzerland,1,0,low degree,
metis energy,Transportation & Logistics,Singapore,1,0,low degree,
metro pacific investments,Gas & Water Utilities,Philippines,1,0,low degree,
metropolitan expressway,Transportation & Logistics,Japan,1,0,low degree,
metropolitan transportation authority,Transportation & Logistics,USA,1,0,low degree,
metroselskabet i/s,Transportation & Logistics,Denmark,1,0,low degree,
meyer werft,Transportation Equipment,Germany,1,0,low degree,
mezhregionenergostroi ooo,Engineering & Construction,Russia,1,0,low degree,
mge energy,Electric Utilities,USA,1,0,low degree,
michu district 8 redevelopment and maintenance business association,Engineering & Construction,South Korea,1,0,low degree,
micron technology,Semiconductors,USA,1,0,low degree,
micronics japan,Semiconductors,Japan,1,0,low degree,
midland exploration,Metals & Mining,Canada,1,0,low degree,
mikhailovsky gok named after andrey vladimirovich varichev jsc,Metals & Mining,Russia,1,0,low degree,
mikhailovsky hbi,Metals & Mining,Russia,1,0,low degree,
mikuni,Automotive,Japan,1,0,low degree,
millat tractors,Machinery,Pakistan,1,0,low degree,
milplan engenharia construcoes e montagens ltda,Engineering & Construction,Brazil,1,0,low degree,
milwaukee transport services,Transportation & Logistics,USA,1,0,low degree,
mimosa,Mine,Zimbabwe,0,1,low degree,
min aik technology,Technology Hardware,Taiwan,1,0,low degree,
minasmaquinas,Automotive,Brazil,1,0,low degree,
mindray medical international,Medical Equipment & Devices,Cayman Islands,1,0,low degree,
ming yang smart energy,Renewable Energy,China,1,0,low degree,
minmetals aluminium,Chemicals,China,1,0,low degree,
minmetals australia pty,Steel,Australia,1,0,low degree,
minmetals germany,Metals & Mining,Germany,1,0,low degree,
minmetals japan,Metals & Mining,Japan,1,0,low degree,
minmetals korea,Steel,South Korea,1,0,low degree,
minmetals shipping & forwarding shanghai,Transportation & Logistics,China,1,0,low degree,
minmetals uk,Steel,UK,1,0,low degree,
minnkota power cooperative,Electric Utilities,USA,1,0,low degree,
mino ceramic,Construction Materials,Japan,1,0,low degree,
mintian steel,Steel,China,1,0,low degree,
mip engenharia s/a,Engineering & Construction,Spain,1,0,low degree,
mirai industry,Construction Materials,Japan,1,0,low degree,
miraial,Semiconductors,Japan,1,0,low degree,
mirait one,Engineering & Construction,Japan,1,0,low degree,
mirfa international power & water co pjsc,Electric Utilities,UAE,1,0,low degree,
misr beni suef cement,Construction Materials,Egypt,1,0,low degree,
misumi,Oil & Gas Producers,Japan,1,0,low degree,
misung trading,Chemicals,South Korea,1,0,low degree,
mitani,Construction Materials,Japan,1,0,low degree,
mitra international resources tbk pt,Transportation & Logistics,Indonesia,1,0,low degree,
mitrabara adiperdana tbk pt,Metals & Mining,Indonesia,1,0,low degree,
mitsubishi,Electrical Equipment,Japan,1,0,low degree,
mitsubishi kakoki kaisha,Engineering & Construction,Japan,1,0,low degree,
mitsui sumitomo metal mining brass & copper,Metals & Mining,Japan,1,0,low degree,
mitsui-soko,Transportation & Logistics,Japan,1,0,low degree,
mitsuuroko,Oil & Gas Producers,Japan,1,0,low degree,
miura,Electrical Equipment,Japan,1,0,low degree,
miwon europe,Chemicals,Germany,1,0,low degree,
miwon spain sl sociedad unipersonal,Chemicals,Spain,1,0,low degree,
mk weeden construction,Engineering & Construction,USA,1,0,low degree,
mmi holdings ltd/singapore,Electrical Equipment,Singapore,1,0,low degree,
mntech,Technology Hardware,South Korea,1,0,low degree,
mobase,Technology Hardware,South Korea,1,0,low degree,
mobiis,Technology Hardware,South Korea,1,0,low degree,
mobiletron electronics,Automotive,Taiwan,1,0,low degree,
mobileye global,Automotive,USA,1,0,low degree,
modikwa,Mine,South Africa,0,1,low degree,
modine manufacturing,Electrical Equipment,USA,1,0,low degree,
mog digitech,Technology Services,Cayman Islands,1,0,low degree,
mogalakwena,Mine,South Africa,0,1,low degree,
mol hungarian oil & gas,Oil & Gas Producers,Hungary,1,0,low degree,
monadelphous,Engineering & Construction,Australia,1,0,low degree,
mongolian mining,Metals & Mining,Cayman Islands,1,0,low degree,
moojinkeeyeon,Engineering & Construction,South Korea,1,0,low degree,
moonbae steel,Steel,South Korea,1,0,low degree,
morgan sindall,Engineering & Construction,UK,1,0,low degree,
morgan sindall group pic,Engineering & Construction,UK,1,0,low degree,
morganite crucible india,Construction Materials,India,1,0,low degree,
morishita,Chemicals,Japan,1,0,low degree,
morita,Transportation Equipment,Japan,1,0,low degree,
motorola solutions,Technology Hardware,USA,1,0,low degree,
motors liquidation,Automotive,USA,1,0,low degree,
mototolo,Mine,South Africa,0,1,low degree,
mp materials,Metals & Mining,USA,1,0,low degree,
mplx lp,Oil & Gas Producers,USA,1,0,low degree,
msc mediterranean shipping,Transportation & Logistics,Switzerland,1,0,low degree,
mtq,Oil & Gas Services & Equip,Singapore,1,0,low degree,
mueller industries,Industrial Intermediate Prod,USA,1,0,low degree,
muhr und bender kg,Automotive,Germany,1,0,low degree,
multibase india,Chemicals,India,1,0,low degree,
multimetco,Metals & Mining,USA,1,0,low degree,
multistrada arah sarana tbk p,Automotive,Indonesia,1,0,low degree,
multivac sepp haggenmueller se & co kg,Machinery,Germany,1,0,low degree,
mundys,Transportation & Logistics,Italy,1,0,low degree,
muro,Automotive,Japan,1,0,low degree,
murphy oil,Oil & Gas Producers,USA,1,0,low degree,
mvm energetika zrt,Electric Utilities,Hungary,1,0,low degree,
mycron steel bhd,Steel,Malaysia,1,0,low degree,
myoung shin industrial,Automotive,South Korea,1,0,low degree,
mytilineos,Electric Utilities,Belgium,1,0,low degree,
myunghwa ind,Automotive,USA,1,0,low degree,
nadezhdinski metallurgical plant pjsc,Steel,Russia,1,0,low degree,
naepo green energy,Renewable Energy,South Korea,1,0,low degree,
nagano industry,Machinery,Taiwan,1,0,low degree,
nagano keiki,Electrical Equipment,Japan,1,0,low degree,
nagano tsuun kk,Transportation & Logistics,Japan,1,0,low degree,
nagoya railroad,Transportation & Logistics,Japan,1,0,low degree,
nagoya tec,Electrical Equipment,Japan,1,0,low degree,
naikai zosen,Transportation Equipment,Japan,1,0,low degree,
najran cement,Construction Materials,Saudi Arabia,1,0,low degree,
nak sealing technologies,Industrial Intermediate Prod,Taiwan,1,0,low degree,
nakamura gear & machinery,Machinery,Japan,1,0,low degree,
nakano refrigerators,Electrical Equipment,Japan,1,0,low degree,
nakayo,Technology Hardware,Japan,1,0,low degree,
nam hwa construction,Engineering & Construction,South Korea,1,0,low degree,
nam song hau tradinginvesting petroleum jsc,Oil & Gas Producers,Vietnam,1,0,low degree,
nan juen international,Industrial Intermediate Prod,Taiwan,1,0,low degree,
nan kang rubber tire,Automotive,Taiwan,1,0,low degree,
nanchang cemented carbide,Metals & Mining,China,1,0,low degree,
nanchang jianglin huaxiang automobile parts,Automotive,China,1,0,low degree,
nanfang zhongjin environment,Machinery,China,1,0,low degree,
nanhua bio-medicine,Medical Equipment & Devices,China,1,0,low degree,
nanjing baose,Industrial Intermediate Prod,China,1,0,low degree,
nanjing chemical fibre,Chemicals,China,1,0,low degree,
nanjing iron & steel,Steel,China,0,1,low degree,
nanjing julong science & technology,Chemicals,China,1,0,low degree,
nanjing kumho gpro chemical,Chemicals,China,1,0,low degree,
nanjing port,Transportation & Logistics,China,1,0,low degree,
nanjing public utilities development,Gas & Water Utilities,China,1,0,low degree,
nanjing wavelength opto-electronic science & technology,Technology Hardware,China,1,0,low degree,
nankai electric railway,Transportation & Logistics,Japan,1,0,low degree,
nanning baling technology,Automotive,China,1,0,low degree,
nanoplus,Chemicals,Cayman Islands,1,0,low degree,
nanshan,Metals & Mining,China,1,0,low degree,
nantong urban construction,Engineering & Construction,China,1,0,low degree,
nantong xingchen synthetic material,Chemicals,China,1,0,low degree,
nanya technology,Semiconductors,Taiwan,1,0,low degree,
nari technology,Electrical Equipment,China,1,0,low degree,
national chlorine,Chemicals,Egypt,1,0,low degree,
national coal,Metals & Mining,USA,1,0,low degree,
national electric power co/jordan,Electric Utilities,Jordan,1,0,low degree,
national fertilizers,Chemicals,India,1,0,low degree,
national fuel gas,Gas & Water Utilities,USA,1,0,low degree,
national gas & industrialization,Gas & Water Utilities,Saudi Arabia,1,0,low degree,
national jsc naftogaz of ukraine,Oil & Gas Producers,Ukraine,1,0,low degree,
national oil,Oil & Gas Producers,Libyan Arab Jamahiriya,1,0,low degree,
national power transmission,Electric Utilities,Vietnam,1,0,low degree,
national railroad passenger,Transportation & Logistics,USA,1,0,low degree,
national refinery,Oil & Gas Producers,Pakistan,1,0,low degree,
national retail transportation,Transportation & Logistics,USA,1,0,low degree,
national shipping co of saudi arabia/the,Transportation & Logistics,Saudi Arabia,1,0,low degree,
natoco,Chemicals,Japan,1,0,low degree,
natural gas distribution,Oil & Gas Producers,Saudi Arabia,1,0,low degree,
natural gas pipeline co of america,Oil & Gas Producers,USA,1,0,low degree,
natureworks,Chemicals,USA,1,0,low degree,
naturgy chile gas natural,Gas & Water Utilities,Chile,1,0,low degree,
naura technology,Semiconductors,China,1,0,low degree,
nava nakorn electricity generating,Electric Utilities,Thailand,1,0,low degree,
navayuga engineering,Engineering & Construction,India,1,0,low degree,
nbn,Telecommunications,Australia,1,0,low degree,
ncxx,Technology Hardware,Japan,1,0,low degree,
ndfos,Industrial Intermediate Prod,South Korea,1,0,low degree,
nec networks & system integration,Technology Services,Japan,1,0,low degree,
nederlandse gasunie,Gas & Water Utilities,Netherlands,1,0,low degree,
nel asa,Renewable Energy,Norway,1,0,low degree,
nelsen steel & wire lp,Steel,USA,1,0,low degree,
neo lithium,Metals & Mining,Canada,1,0,low degree,
neo performance materials,Chemicals,Canada,1,0,low degree,
neometals,Metals & Mining,Australia,1,0,low degree,
neooto,Automotive,South Korea,1,0,low degree,
nest logitics kk,Transportation & Logistics,Japan,1,0,low degree,
netgear,Technology Hardware,USA,1,0,low degree,
network rail,Engineering & Construction,UK,1,0,low degree,
new brunswick power,Electric Utilities,Canada,1,0,low degree,
new east,Transportation & Logistics,Japan,1,0,low degree,
new fortress energy,Oil & Gas Producers,USA,1,0,low degree,
new gold,Metals & Mining,Canada,1,0,low degree,
new hampshire electric cooperative,Electric Utilities,USA,1,0,low degree,
new york city transit authority,Transportation & Logistics,USA,1,0,low degree,
new york state thruway authority,Transportation & Logistics,USA,1,0,low degree,
nexa resources,Metals & Mining,Luxembourg,1,0,low degree,
nexchip semiconductor,Semiconductors,China,1,0,low degree,
nexolon,Renewable Energy,South Korea,1,0,low degree,
ngawi kertosono jaya pt,Engineering & Construction,Indonesia,1,0,low degree,
ngezi,Mine,Zimbabwe,0,1,low degree,
nh international,Steel,USA,1,0,low degree,
nhava sheva india gateway terminal pvt,Transportation & Logistics,India,1,0,low degree,
nhpc,Electric Utilities,India,1,0,low degree,
niagara lasalle,Steel,USA,1,0,low degree,
nic autotec,Metals & Mining,Japan,1,0,low degree,
nicca chemical,Chemicals,Japan,1,0,low degree,
nichidenbo,Technology Hardware,Taiwan,1,0,low degree,
nichireki,Engineering & Construction,Japan,1,0,low degree,
nickel industries,Metals & Mining,Australia,1,0,low degree,
nihon decoluxe,Industrial Intermediate Prod,Japan,1,0,low degree,
nihon dengi,Engineering & Construction,Japan,1,0,low degree,
nihon denkei,Electrical Equipment,Japan,1,0,low degree,
nihon tokushu toryo,Automotive,Japan,1,0,low degree,
nikicato,Chemicals,Japan,1,0,low degree,
nikkato,Chemicals,Japan,1,0,low degree,
nikken koatsu heiwa kido kk,Engineering & Construction,Japan,1,0,low degree,
nikki,Automotive,Japan,1,0,low degree,
nikola,Transportation Equipment,USA,1,0,low degree,
ningbo baoxin stainless steel,Steel,China,1,0,low degree,
ningbo free trade zone shoude trade,Metals & Mining,China,1,0,low degree,
ningbo fubang jingye,Metals & Mining,China,1,0,low degree,
ningbo gaofa automotive control system,Automotive,China,1,0,low degree,
ningbo hangzhou bay bridge development,Transportation & Logistics,China,1,0,low degree,
ningbo jifeng auto parts,Automotive,China,1,0,low degree,
ningbo jintian new material,Industrial Intermediate Prod,China,1,0,low degree,
ningbo rixing casting industry,Machinery,China,1,0,low degree,
ningbo shuanglin auto parts,Automotive,China,1,0,low degree,
ningbo zhoushan port,Transportation & Logistics,China,1,0,low degree,
ningde city communication investment,Transportation & Logistics,China,1,0,low degree,
ningxia jingneng ningdong electric power,Electric Utilities,China,1,0,low degree,
ninh binh thermal power jsc,Electric Utilities,Vietnam,1,0,low degree,
nintendo,Technology Hardware,Japan,1,0,low degree,
nippo,Engineering & Construction,Japan,1,0,low degree,
nippon antenna,Technology Hardware,Japan,1,0,low degree,
nippon corrosion engineering co ltd/the,Engineering & Construction,Japan,1,0,low degree,
nippon filcon co ltd/tokyo,Machinery,Japan,1,0,low degree,
nippon fine chemical,Chemicals,Japan,1,0,low degree,
nippon gas,Gas & Water Utilities,Japan,1,0,low degree,
nippon koei,Engineering & Construction,Japan,1,0,low degree,
nippon lock,Electrical Equipment,Japan,1,0,low degree,
nippon pigment,Chemicals,Japan,1,0,low degree,
nippon pillar packing,Machinery,Japan,1,0,low degree,
nippon road co ltd/the,Engineering & Construction,Japan,1,0,low degree,
nippon seiki,Automotive,Japan,1,0,low degree,
nippon signal company,Technology Hardware,Japan,1,0,low degree,
nippon telegraph & telephone,Telecommunications,Japan,1,0,low degree,
nippon thompson,Industrial Intermediate Prod,Japan,1,0,low degree,
nippon tungsten,Industrial Intermediate Prod,Japan,1,0,low degree,
nipsea paint & chemicals pt,Chemicals,Indonesia,1,0,low degree,
nissei technology,Electrical Equipment,Japan,1,0,low degree,
nissin brake vietnam,Automotive,Vietnam,1,0,low degree,
nissin electric,Electrical Equipment,Japan,1,0,low degree,
nissin shoji,Oil & Gas Producers,Japan,1,0,low degree,
nitta,Industrial Intermediate Prod,Japan,1,0,low degree,
nitto kako,Industrial Intermediate Prod,Japan,1,0,low degree,
nittoku,Electrical Equipment,Japan,1,0,low degree,
nizhegorodoblgaz dao,Gas & Water Utilities,Russia,1,0,low degree,
nkomati,Mine,South Africa,0,1,low degree,
nobian chemicals,Metals & Mining,Netherlands,1,0,low degree,
noble,Metals & Mining,Bermuda,1,0,low degree,
nokia oyj,Technology Hardware,Finland,1,0,low degree,
nomura micro science,Machinery,Japan,1,0,low degree,
nordex usa,Renewable Energy,USA,1,0,low degree,
norfolk southern,Transportation & Logistics,USA,1,0,low degree,
norilsk,Mine,Russia,0,1,low degree,
nortech systems,Electrical Equipment,USA,1,0,low degree,
nortek,Electrical Equipment,USA,1,0,low degree,
north china aluminium,Metals & Mining,China,1,0,low degree,
north china grid,Electric Utilities,China,1,0,low degree,
north-star international,Oil & Gas Producers,USA,1,0,low degree,
northeast light alloy,Metals & Mining,China,1,0,low degree,
northern border pipeline,Oil & Gas Producers,USA,1,0,low degree,
northern power,Electric Utilities,Vietnam,1,0,low degree,
northern star resources,Metals & Mining,Australia,1,0,low degree,
northvolt ett ab,Technology Hardware,Sweden,1,0,low degree,
northwestern energy,Electric Utilities,USA,1,0,low degree,
nov,Oil & Gas Services & Equip,USA,1,0,low degree,
nova chemicals,Chemicals,Canada,1,0,low degree,
nova poshta,Transportation & Logistics,Ukraine,1,0,low degree,
nova trading,Steel,Poland,1,0,low degree,
novanta,Electrical Equipment,Canada,1,0,low degree,
novapet,Industrial Intermediate Prod,Spain,1,0,low degree,
novelis inc/ontario,Metals & Mining,USA,1,0,low degree,
novonor,Engineering & Construction,Brazil,1,0,low degree,
npp neftekhimiya ooo,Chemicals,Russia,1,0,low degree,
nrg energy,Electric Utilities,USA,1,0,low degree,
nrw,Metals & Mining,Australia,1,0,low degree,
ns architectural steel services,Metals & Mining,Japan,1,0,low degree,
ns auto tech,Automotive,South Korea,1,0,low degree,
ns bluescope vietnam,Steel,Vietnam,1,0,low degree,
ns solutions,Technology Services,Japan,1,0,low degree,
ns tool,Machinery,Japan,1,0,low degree,
nst manufacturing,Metals & Mining,South Korea,1,0,low degree,
ntpc ge power services pvt,Electric Utilities,India,1,0,low degree,
ntt data,Technology Services,Japan,1,0,low degree,
nusa halmahera minerals pt,Metals & Mining,Indonesia,1,0,low degree,
nusantara steelmills indonesia pt,Steel,Indonesia,1,0,low degree,
nuvve holding,Electrical Equipment,USA,1,0,low degree,
nvh india anantapur auto parts pvt,Automotive,India,1,0,low degree,
nvidia,Semiconductors,USA,1,0,low degree,
nxp semiconductors,Semiconductors,Netherlands,1,0,low degree,
nylco mexicana sa de cv,Steel,Spain,1,0,low degree,
nyrstan,Metals & Mining,Netherlands,1,0,low degree,
nyrstar,Metals & Mining,Belgium,1,0,low degree,
ocean power technologies,Renewable Energy,USA,1,0,low degree,
oceaneering international,Oil & Gas Services & Equip,USA,1,0,low degree,
ocp,Chemicals,Spain,1,0,low degree,
odfjell se,Transportation & Logistics,Norway,1,0,low degree,
odfjell terminals korea,Transportation & Logistics,South Korea,1,0,low degree,
og&e electric services,Electric Utilities,USA,1,0,low degree,
ogihara,Automotive,Japan,1,0,low degree,
ognibene power,Machinery,Italy,1,0,low degree,
ohkubo seiki kogyo,Machinery,Japan,1,0,low degree,
oil and gas holding co bscc/the,Oil & Gas Producers,Bahrain,1,0,low degree,
oil search,Oil & Gas Producers,UK,1,0,low degree,
oiles,Industrial Intermediate Prod,Japan,1,0,low degree,
okada aiyon,Machinery,Japan,1,0,low degree,
okada industries,Machinery,Japan,1,0,low degree,
okamoto glass,Technology Hardware,Japan,1,0,low degree,
okano valve manufacturing,Machinery,Japan,1,0,low degree,
oke precision cutting tools,Machinery,Taiwan,1,0,low degree,
okea asa,Oil & Gas Producers,Norway,1,0,low degree,
okinawa technocrete,Construction Materials,Japan,1,0,low degree,
okita iron works,Metals & Mining,Japan,1,0,low degree,
okuma,Machinery,Japan,1,0,low degree,
old steelco,Steel,USA,1,0,low degree,
oldelval,Oil & Gas Producers,Spain,1,0,low degree,
oleoducto trasandino chile,Oil & Gas Producers,Chile,1,0,low degree,
olympic steel,Steel,USA,1,0,low degree,
omnitek engineering,Automotive,USA,1,0,low degree,
omron,Machinery,Japan,1,0,low degree,
omv petrom,Oil & Gas Producers,Romania,1,0,low degree,
onamba,Electrical Equipment,Japan,1,0,low degree,
one 97 communications,Technology Services,India,1,0,low degree,
oneok,Oil & Gas Producers,USA,1,0,low degree,
ongc petro additions,Oil & Gas Producers,India,1,0,low degree,
ongc tripura power,Electric Utilities,India,1,0,low degree,
ontic engineering & manufacturing,Aerospace & Defense,USA,1,0,low degree,
ontic engineering & manufacturing uk,Aerospace & Defense,UK,1,0,low degree,
opg power ventures,Electric Utilities,UK,1,0,low degree,
orano,Metals & Mining,Luxembourg,1,0,low degree,
oreloblgaz oao,Gas & Water Utilities,Russia,1,0,low degree,
organizacion terpel,Oil & Gas Producers,Colombia,1,0,low degree,
organo,Machinery,Japan,1,0,low degree,
oriental energy,Oil & Gas Producers,China,1,0,low degree,
oriental petrochemical shanghai,Chemicals,China,1,0,low degree,
oriental precision & engineering,Transportation Equipment,South Korea,1,0,low degree,
origin agritech,Chemicals,"Virgin Islands, British",1,0,low degree,
orinko advanced plastics,Chemicals,China,1,0,low degree,
ormat technologies,Electric Utilities,USA,1,0,low degree,
orogen royalties,Metals & Mining,Canada,1,0,low degree,
osaka seiko,Automotive,Japan,1,0,low degree,
osaka yuka industry,Chemicals,Japan,1,0,low degree,
osstem implant,Medical Equipment & Devices,South Korea,1,0,low degree,
osung advanced materials,Machinery,South Korea,1,0,low degree,
otani kogyo,Electrical Equipment,Japan,1,0,low degree,
otics,Automotive,Japan,1,0,low degree,
otransportes aereos pegaso sa de cv,Transportation & Logistics,Spain,1,0,low degree,
otter products,Technology Hardware,USA,1,0,low degree,
ouyeel,Steel,China,1,0,low degree,
ovh groupe sas,Technology Services,France,1,0,low degree,
ovintiv,Oil & Gas Producers,USA,1,0,low degree,
oxelosunds hamn ab,Transportation & Logistics,Sweden,1,0,low degree,
oyo,Engineering & Construction,Japan,1,0,low degree,
pacific coast warehouse,Transportation & Logistics,USA,1,0,low degree,
pacific drilling,Oil & Gas Services & Equip,Luxembourg,1,0,low degree,
pacific infrastructure project development and investment,Engineering & Construction,China,1,0,low degree,
pacific national holdings pty,Transportation & Logistics,Australia,1,0,low degree,
pacific petroleum transportation jsc,Transportation & Logistics,Vietnam,1,0,low degree,
pakgen power,Electric Utilities,Pakistan,1,0,low degree,
pakistan oilfields,Oil & Gas Producers,Pakistan,1,0,low degree,
pakistan refinery,Oil & Gas Producers,Pakistan,1,0,low degree,
paladin energy,Metals & Mining,Australia,1,0,low degree,
pam transportation services,Transportation & Logistics,USA,1,0,low degree,
pan american energy,Oil & Gas Producers,USA,1,0,low degree,
pan asia engineers & constructors,Engineering & Construction,Taiwan,1,0,low degree,
pan-international industrial,Technology Hardware,Taiwan,1,0,low degree,
panavia aircraft,Aerospace & Defense,Germany,1,0,low degree,
panca amara utama pt,Oil & Gas Services & Equip,Indonesia,1,0,low degree,
pandora,Mine,South Africa,0,1,low degree,
pangang,Steel,China,1,0,low degree,
panoramic resources,Metals & Mining,Australia,1,0,low degree,
panzhihua iron & steel group chengdu panel,Steel,China,1,0,low degree,
parex resources,Oil & Gas Producers,Canada,1,0,low degree,
park aerospace,Chemicals,USA,1,0,low degree,
park-ohio,Industrial Intermediate Prod,USA,1,0,low degree,
parque eolico cabo leones isa,Renewable Energy,Chile,1,0,low degree,
partron,Technology Hardware,South Korea,1,0,low degree,
pattern energy,Electric Utilities,USA,1,0,low degree,
pavoni & c,Chemicals,Italy,1,0,low degree,
pawan hans helicopters,Transportation & Logistics,India,1,0,low degree,
payal polyplast pvt,Chemicals,India,1,0,low degree,
pbf logistics lp,Oil & Gas Producers,USA,1,0,low degree,
pdvsa petroleo,Oil & Gas Producers,Venezuela,1,0,low degree,
peab ab,Engineering & Construction,Sweden,1,0,low degree,
peabody energy,Metals & Mining,USA,1,0,low degree,
pedernales electric cooperative,Electric Utilities,USA,1,0,low degree,
pelabuhan indonesia iii persero pt,Transportation & Logistics,Indonesia,1,0,low degree,
pelabuhan indonesia persero pt,Transportation & Logistics,Indonesia,1,0,low degree,
peliculas plasticas sa de cv,Chemicals,Mexico,1,0,low degree,
pelindo iii pt,Transportation & Logistics,Indonesia,1,0,low degree,
pembangunan perumahan semarang demak pt,Engineering & Construction,Indonesia,1,0,low degree,
pembina pipeline,Oil & Gas Producers,Canada,1,0,low degree,
pemcorp sapi de cv,Electric Utilities,Mexico,1,0,low degree,
pemex exploracion y produccion,Oil & Gas Producers,Mexico,1,0,low degree,
pemex gas y petroquimica basica,Oil & Gas Producers,Mexico,1,0,low degree,
pentair,Machinery,Ireland,1,0,low degree,
perenco,Oil & Gas Producers,Panama,1,0,low degree,
perodua auto corp sdn bhd,Automotive,Malaysia,1,0,low degree,
perusahaan otomobil kedua sdn,Automotive,Malaysia,1,0,low degree,
peterburgteploenergo ooo,Renewable Energy,Russia,1,0,low degree,
petredec international pte,Transportation & Logistics,Singapore,1,0,low degree,
petro center,Gas & Water Utilities,Vietnam,1,0,low degree,
petro pacific,Oil & Gas Producers,Vietnam,1,0,low degree,
petrobras colombia combustibles,Metals & Mining,Colombia,1,0,low degree,
