node,industry,country,in_degree,out_degree,flag_reason,decision
baota industry,Industrial Intermediate Prod,China,1,0,low degree,
baotou steel international economic & trading,Steel,China,1,0,low degree,
baowu group echeng iron & steel,Steel,China,1,0,low degree,
baowu group zhongnan iron & steel,Steel,China,1,0,low degree,
baowu resources,Metals & Mining,China,1,0,low degree,
barakah one,Electric Utilities,UAE,1,0,low degree,
barata indonesia pt,Engineering & Construction,Indonesia,1,0,low degree,
barnes,Aerospace & Defense,USA,1,0,low degree,
bashkirskaya sodovaya kompaniya jsc,Chemicals,Russia,1,0,low degree,
basler verkehrs-betriebe bvb,Transportation & Logistics,Switzerland,1,0,low degree,
batu kawan bhd,Chemicals,Malaysia,1,0,low degree,
baxter,Chemicals,USA,1,0,low degree,
bayport polymers,Chemicals,USA,1,0,low degree,
bb energy,Oil & Gas Producers,Curacao,1,0,low degree,
bce,Telecommunications,Canada,1,0,low degree,
be max trading,Industrial Intermediate Prod,South Korea,1,0,low degree,
beida xianxing tai'an technology industry,Chemicals,China,1,0,low degree,
beijing automobile works,Automotive,Hong Kong,1,0,low degree,
beijing beiye functional materials,Chemicals,China,1,0,low degree,
beijing creative distribution automation,Electrical Equipment,China,1,0,low degree,
beijing electronics holding,Technology Hardware,China,1,0,low degree,
beijing enterprises water,Gas & Water Utilities,Bermuda,1,0,low degree,
beijing haohua energy resource,Metals & Mining,China,1,0,low degree,
beijing jianlong heavy industry,Metals & Mining,China,1,0,low degree,
beijing jingyuntong technology,Renewable Energy,China,1,0,low degree,
beijing shougang alliance of xingang science & trade,Steel,China,1,0,low degree,
beijing shougang construction,Engineering & Construction,China,1,0,low degree,
beijing shougang gitane new materials,Steel,China,1,0,low degree,
beijing shougang international engineering technolog,Engineering & Construction,China,1,0,low degree,
beijing shougang lujiashan limestone mine,Construction Materials,China,1,0,low degree,
beijing shougang oxygen factory,Chemicals,China,1,0,low degree,
beijing shougang refractory & metallurgical burden,Construction Materials,China,1,0,low degree,
beijing strong biotechnologies,Medical Equipment & Devices,China,1,0,low degree,
beijing water business doctor,Gas & Water Utilities,China,1,0,low degree,
beijing-shanghai high speed railway,Transportation & Logistics,China,1,0,low degree,
bejo zaden,Chemicals,Netherlands,1,0,low degree,
bekaert,Industrial Intermediate Prod,Belgium,1,0,low degree,
bel fuse,Electrical Equipment,USA,1,0,low degree,
belchim crop protection,Chemicals,Netherlands,1,0,low degree,
belden,Electrical Equipment,USA,1,0,low degree,
belebeyevskiy zavod avtonormal ao,Automotive,Russia,1,0,low degree,
bell telephone co of canada or bell canada/the,Telecommunications,Canada,1,0,low degree,
belorusskaya gorno metallurgicheskaya kompaniya oao,Steel,Belarus,1,0,low degree,
benxi iron & steel,Steel,China,1,0,low degree,
benxi steel,Steel,China,1,0,low degree,
benxi steel group heat development,Electric Utilities,China,1,0,low degree,
berger paints nigeria,Chemicals,Nigeria,1,0,low degree,
berger paints pakistan,Chemicals,Pakistan,1,0,low degree,
bertrandt,Automotive,Germany,1,0,low degree,
besalco,Engineering & Construction,Chile,1,0,low degree,
best motor housing core,Machinery,South Korea,1,0,low degree,
bestsun energy,Gas & Water Utilities,China,1,0,low degree,
bestway marine & energy technology,Transportation Equipment,China,1,0,low degree,
bgn international dmcc,Chemicals,UAE,1,0,low degree,
bgrimm technology,Chemicals,China,1,0,low degree,
bharat heavy electricals,Electrical Equipment,India,1,0,low degree,
bharat mumbai container terminals pvt,Transportation & Logistics,India,1,0,low degree,
bhp billiton mitsubishi alliance,Metals & Mining,Australia,1,0,low degree,
big sun energy technology,Renewable Energy,Taiwan,1,0,low degree,
billion electric,Technology Hardware,Taiwan,1,0,low degree,
bingshan refrigeration & heat transfer technologies,Electrical Equipment,China,1,0,low degree,
binh minh plastics jsc,Construction Materials,Vietnam,1,0,low degree,
binhai investment,Gas & Water Utilities,Bermuda,1,0,low degree,
bisichi,Metals & Mining,UK,1,0,low degree,
bk technologies,Technology Hardware,USA,1,0,low degree,
bloom energy,Electrical Equipment,USA,1,0,low degree,
blue energy,Oil & Gas Producers,Australia,1,0,low degree,
blue origin,Aerospace & Defense,USA,1,0,low degree,
bobco metals,Industrial Intermediate Prod,USA,1,0,low degree,
boc-spc gases,Chemicals,China,1,0,low degree,
bodycote,Industrial Intermediate Prod,UK,1,0,low degree,
boguchanskiy alyuminiyevyy zavod zao,Metals & Mining,Russia,1,0,low degree,
bohai ferry,Transportation & Logistics,China,1,0,low degree,
bokoni,Mine,South Africa,0,1,low degree,
boma bisma indra pt,Engineering & Construction,Indonesia,1,0,low degree,
bomin electronics,Technology Hardware,China,0,1,low degree,
bonny gas transport,Transportation & Logistics,Bermuda,1,0,low degree,
bonny worldwide,Chemicals,Cayman Islands,1,0,low degree,
bookook steel,Steel,South Korea,1,0,low degree,
boralex,Electric Utilities,Canada,1,0,low degree,
borcelik celik sanayii ticaret as,Steel,Turkey,1,0,low degree,
borealis brasil,Chemicals,Brazil,1,0,low degree,
borouge,Chemicals,UAE,1,0,low degree,
borouge pte,Industrial Intermediate Prod,Singapore,1,0,low degree,
borregaard asa,Chemicals,Norway,1,0,low degree,
boryeong lng terminal,Gas & Water Utilities,South Korea,1,0,low degree,
bos gmbh & co kg,Automotive,Germany,1,0,low degree,
bosal mexico sa de cv,Automotive,Mexico,1,0,low degree,
botas boru hatlari ile petrol tasima as,Oil & Gas Producers,Turkey,1,0,low degree,
boyd metals of joplin,Steel,USA,1,0,low degree,
bp2 sp zoo,Steel,Poland,1,0,low degree,
bpost,Transportation & Logistics,Belgium,1,0,low degree,
brahmaputra cracker & polymer,Oil & Gas Producers,India,1,0,low degree,
brametal s/a,Steel,Spain,1,0,low degree,
brantas abipraya persero pt,Transportation & Logistics,Indonesia,1,0,low degree,
braskem idesa sapi,Chemicals,Mexico,1,0,low degree,
bridge & roof co india,Engineering & Construction,India,1,0,low degree,
bridgnorth aluminium,Industrial Intermediate Prod,UK,1,0,low degree,
brilliance auto,Automotive,China,1,0,low degree,
british petroleum,Engineering & Construction,UK,1,0,low degree,
broadex technologies,Semiconductors,China,1,0,low degree,
broadwind,Renewable Energy,USA,1,0,low degree,
brookfield infrastructure partners lp,Electric Utilities,Canada,1,0,low degree,
brookfield renewable partners lp,Electric Utilities,Canada,1,0,low degree,
brother industries,Technology Hardware,Japan,1,0,low degree,
brother precision industry,Automotive,Japan,1,0,low degree,
browave,Technology Hardware,Taiwan,1,0,low degree,
brpm styldrift,Mine,South Africa,0,1,low degree,
brt spa/milano,Transportation & Logistics,Italy,1,0,low degree,
bryanskoblgaz oao,Gas & Water Utilities,Russia,1,0,low degree,
bt,Telecommunications,UK,1,0,low degree,
bucher industries,Machinery,Switzerland,1,0,low degree,
buffalo coal,Metals & Mining,Canada,1,0,low degree,
bukhangang military residence,Engineering & Construction,South Korea,1,0,low degree,
bulgarian energy holding ead,Electric Utilities,Bulgaria,1,0,low degree,
bumi resources minerals tbk pt,Metals & Mining,Indonesia,1,0,low degree,
bup billion mitsubishi alliance,Metals & Mining,Japan,1,0,low degree,
burgess-norton manufacturing,Industrial Intermediate Prod,USA,1,0,low degree,
busan industrial,Construction Materials,South Korea,1,0,low degree,
busan sanseong tunnel,Engineering & Construction,South Korea,1,0,low degree,
busan transportation,Transportation & Logistics,Colombia,1,0,low degree,
buzzi,Construction Materials,Italy,1,0,low degree,
bwx technologies,Electrical Equipment,USA,1,0,low degree,
byd motors,Automotive,USA,1,0,low degree,
