company_a,company_b,similarity_score,count_a,count_b
vitol,vitol asia pte,100,2,4
vietnam - italy steel jsc,vietnam italy steel jsc,100,1,2
vedanta,vedanta td,100,17,1
towa,towa refractory engineering,100,1,1
tokyo electron,tokyo electron device,100,2,2
tokyo printing ink manufacturing,tokyo steel manufacturing,100,3,5
tokyo radiator manufacturing,tokyo steel manufacturing,100,2,5
tokyo rope manufacturing,tokyo steel manufacturing,100,18,5
tomoe,tomoe works,100,9,1
toshiba,toshiba mitsubishi-electric industrial systems,100,3,1
toshiba,toshiba tec,100,3,1
trafigura group pte,trafigura pte,100,13,3
vale,vale indonesia tbk pt,100,52,9
triumph,triumph motorcycles,100,1,1
ts tech,ts tech north america,100,6,1
tvs,tvs motor,100,1,1
unigel,unigel participacoes s/a,100,1,1
unigel,unigel uk,100,1,1
uniper global commodities se,uniper se,100,1,4
vale,vale inco sudbury,100,52,1
sk,sk kaken,100,85,1
sk,sk innovation,100,85,135
sk,sk if technology,100,85,6
shandong iron & steel,shandong iron and steel,100,2,3
sanko,sanko metal industrial,100,1,10
sanko,sanko seisakusyo,100,1,1
sapura energy bhd,sapura industrial bhd,100,1,1
sato,sato kogyo s pte,100,1,1
sato,sato shoji,100,1,5
sato,watanabe sato,100,1,1
schaeffler,schaeffler india,100,145,1
screen,tsuchiya screen kk,100,2,1
seah,seah besteel,100,44,12
seah,seah precision mexico sa de cv,100,44,1
seah,seah special steel,100,44,6
semiconductor manufacturing international,taiwan semiconductor manufacturing,100,1,15
seoyon e-hwa,seoyon e-hwa automotive slovakia sro,100,1,1
seoyon e-hwa,seoyon e-hwa summit automotive anantapur pvt,100,1,1
seres,seres group co llu,100,6,1
sewon,sewon e&c,100,1,18
sewon,solaris sewon,100,1,1
sanko,sanko gosei,100,1,1
samindo resources tbk pi,samindo resources tbk pt,100,1,1
samil,samil c&s,100,3,33
qingdao seah precision metal,seah,100,1,44
power construction corp of china,state grid corp of china,100,3,41
power construction corp of china,state grid corp of chirra,100,3,13
powerchip semiconductor manufacturing,semiconductor manufacturing international,100,1,1
ptt exploration & production pcl,ptt pcl,100,4,44
ptt global chemical pcl,ptt pcl,100,2,44
ptt oil & retail business pcl,ptt pcl,100,2,44
qingdao copton technology,qingdao copton technology co lill,100,1,1
qinhuangdao shougang machinery,qinhuangdao shougang plate mill,100,1,1
saic volkswagen automotive,volkswagen,100,8,152
qinhuangdao shougang machinery,shougang,100,1,14
qinhuangdao shougang plate mill,shougang,100,1,14
rechi precision,rechi qingdao precision electromechanical,100,5,1
renault,renault korea motors,100,72,8
resonac,resonac holdinger,100,6,7
rheinmetall,rheinmetall bae systems land,100,3,1
robert bosch,robert bosch automotive steering,100,24,1
shan xi hua yang group new energiv,shan xi hua yang group new energy,100,1,1
shandong sunway chemical,sunway,100,2,1
sk,sk ie technology,100,85,10
shanghai airport,shanghai international airport,100,1,2
shougang,shougang fushan resources,100,14,1
shougang,shougang guiyang special steel,100,14,1
shougang,shougang hierro peru s a a,100,14,1
shougang,shougang shuicheng iron & steel,100,14,1
shougang,suzhou shougang longxing steel processing distribution,100,14,1
showa,showa manufacturing,100,1,1
showa,showa precision tools,100,1,1
sibanye stillwater,stillwater,100,15,1
sichuan changhong new energy technology,sichuan new energy power,100,1,6
sichuan faw toyota motor,toyota motor,100,3,176
siemens,siemens gamesa renewable energy,100,55,8
sk,sk advanced,100,85,14
sk,sk chemicals,100,85,32
sk,sk ecoplant,100,85,56
sk,sk enpulse,100,85,2
sk,sk gas,100,85,47
sk,sk hynix,100,85,16
shougang,shougang changzhi iron & steel,100,14,1
shin hsiung natural gas,shin shin natural gas,100,1,1
shenzhen sunway communication,sunway,100,2,1
shanghai huayi construction,shanghai huayi engineering,100,1,1
shanghai huayi,shanghai huayi acrylic acid,100,67,1
shanghai huayi,shanghai huayi construction,100,67,1
shanghai huayi,shanghai huayi engineering,100,67,1
shanghai huayi,shanghai huayi group finance,100,67,1
shanghai huayi,shanghai huayi polymer,100,67,1
shanghai huayi acrylic acid,shanghai huayi construction,100,1,1
shanghai huayi acrylic acid,shanghai huayi engineering,100,1,1
shanghai huayi construction,shanghai huayi group finance,100,1,1
shanxi coking,shanxi coking coal energy,100,1,3
shanghai huayi construction,shanghai huayi polymer,100,1,1
shanghai huayi engineering,shanghai huayi group finance,100,1,1
shanghai huayi engineering,shanghai huayi polymer,100,1,1
shanghai shougang steel & iron trading,shougang,100,1,14
shanghai tiantan auxiliaries,shanghai tiantan auxiliaries co ltd 831,100,1,1
shanxi coal import & export,shanxi coal international energy,100,4,4
shanxi coal international energy,shanxi coking coal energy,100,4,3
hbis,hbis resources,100,18,27
zhejiang power new energy,zhejiang weixing new building materials,100,1,1
asia pacific wire & cable,electric wire & cable,100,3,1
baker hughes,baker hughes do brasil ltda,100,4,1
beijing shougang alliance of xingang science & trade,shougang,100,1,14
china national nuclear,china national nuclear power,100,1,9
eagle,huizhou china eagle electronic technology,100,1,1
dsr,dsr wire,100,2,1
china national offshore oil,national oil,100,3,1
china national petroleum,national petroleum,100,5,2
china national petroleum,vietnam national petroleum,100,5,1
dp world ltd/united arab emirates,emirates,100,1,1
dow,dow corning toray,100,76,1
doosan,doosan fuel cell,100,15,2
doosan,doosan enerbility,100,15,27
arkema,arkema hydrogen peroxide,100,11,1
doosan,doosan bobcat,100,15,2
asahi kasei,asahi kasei mitsubishi chemical ethylene,100,110,1
asahi kasei mitsubishi chemical ethylene,mitsubishi,100,1,1
china national united oil,national oil,100,3,1
dongseo,is dongseo,100,1,1
china nonferrous metal mining,china nonferrous mining,100,4,3
beijing shougang alliance of xingang science & trade,beijing shougang construction,100,1,1
asia pacific wire & cable,china wire & cable,100,3,5
beijing shougang construction,chaoyang shougang beijing machinery,100,1,1
dongkuk,dongkuk structures & construction,100,24,5
dongkuk,dongkuk steel mill co ltd/new,100,24,4
dongkuk,dongkuk refractories & steel,100,24,1
dongfeng nissan diesel motor,nissan motor,100,1,56
astra otoparts lbk pt,astra otoparts tbk pt,100,8,4
atlas honda,honda atlas cars pakistan,100,1,1
dongfeng motor,dongfeng nissan diesel motor,100,17,1
dongfeng automobile,dongfeng peugeot citroen automobile,100,9,1
china gas industry investment,petrovietnam gas city investment and development jsc,100,2,1
ecopro,ecopro bm,100,16,12
ecopro,ecopro hn,100,16,2
emirates,emirates nuclear energy,100,1,1
chengdu ningjiang showa autoparts,showa,100,1,1
ap moller - maersk a/s,ap moller maersk a/s,100,4,1
enel,enel destribucion peru sma,100,19,3
chiyoda,chiyoda air-con parts,100,9,1
enel,enel colombia sa esp,100,19,1
chevron,chevron phillips chemical,100,75,1
chia ta world,ta,100,2,2
enel,enel chile,100,19,2
arcelormittal,arcelormittal kryvyi rih pjsc,100,109,1
enel,enel brasil,100,19,1
enel,enel americas,100,19,7
china changan automobile,chongqing changan automobile,100,4,51
beijing shougang construction,beijing shougang gitane new materials,100,1,1
electric wire & cable,tatsuta electric wire and cable,100,1,11
ecopro,ecopro innovation,100,16,1
electric wire & cable,tai-i electric wire & cable,100,1,3
electric wire & cable,ta ya electric wire & cable,100,1,4
electric wire & cable,skmi wire & cable tbk pt,100,1,2
electric wire & cable,kmi wire & cable tbk pt,100,1,3
arcelormittal,arcelormittal nippon steel india,100,109,4
electric wire & cable,jiangsu tongguang electronic wire and cable,100,1,1
electric wire & cable,hua eng wire & cable,100,1,3
electric wire & cable,hold-key electric wire & cable,100,1,1
electric wire & cable,evertop wire cable,100,1,2
arcelormittal,arcelormittal south africa,100,109,1
edf,edf renouvelables,100,1,1
edf,edf energy nuclear generation,100,1,1
ecopro,ecopro materials,100,16,1
bae systems,rheinmetall bae systems land,100,51,1
dongfeng automobile,dongfeng honda automobile,100,9,5
enel,enel distribucion chile,100,19,13
baosteel metal,shanghai baosteel & arcelor tailor metal,100,1,1
china wire & cable,jiangsu tongguang electronic wire and cable,100,5,1
beijing automotive,beijing hainachuan automotive parts,100,11,2
beijing shougang,chaoyang shougang beijing machinery,100,84,1
continental,continental motors,100,42,1
continental,continental chemical corp pte,100,42,1
beijing hyundai motor,hyundai motor,100,3,67
conocophillips,conocophillips kuma,100,27,1
commercial aircraft corp of china,power construction corp of china,100,2,3
comex sab de cv,comex sab dk cv,100,7,8
colas,hindustan colas,100,1,1
beijing shougang,beijing shougang refractory & metallurgical burden,100,84,1
coasia,coasia electronics,100,1,2
coasia,coasia cm,100,1,1
beijing shougang,beijing shougang oxygen factory,100,84,1
china wire & cable,kmi wire & cable tbk pt,100,5,3
beijing shougang,beijing shougang alliance of xingang science & trade,100,84,1
citic pacific group special steel,citic pacific special steel,100,4,2
beijing shougang,beijing shougang construction,100,84,1
china wire & cable,skmi wire & cable tbk pt,100,5,2
china wire & cable,ta ya electric wire & cable,100,5,4
beijing shougang,beijing shougang gitane new materials,100,84,1
cie automotive,cie automotive india,100,6,1
beijing shougang,beijing shougang international engineering technolog,100,84,1
beijing shougang,beijing shougang lujiashan limestone mine,100,84,1
china wire & cable,tai-i electric wire & cable,100,5,3
chongqing water,chongqing water conservancy investment,100,1,1
chongqing three gorges water conservancy & electric power,chongqing water,100,2,1
chongqing chang'an visteon engine control system,visteon,100,1,4
china wire & cable,tatsuta electric wire and cable,100,5,11
continental,continental resources inc/ok,100,42,2
corning,dow corning toray,100,5,1
corning,owens corning,100,5,4
dana,dana brata luhur tbk pt,100,32,1
dongbu,zhangjiagang dongbu high technology metal,100,3,1
barito pacific tbk pt,barito pacific thk pt,100,1,4
dong anh electrical equipment corp jsc,electrical equipment jsc,100,2,1
dl,dl holdings co lirl,100,90,12
dl,dl f&c,100,90,11
dl,dl e&c,100,90,11
china southern power grid,china southern power grid energy efficiency & clean energy,100,6,1
china southern power grid,china southern power grid energy storage,100,6,3
barito pacific thk pt,thk,100,4,1
denso,denso corp oz,100,140,20
denka,kanto denka kogyo,100,33,5
china three gorges,china three gorges renewables,100,8,4
china three gorges,chongqing three gorges water conservancy & electric power,100,8,2
china wire & cable,dah san electric wire & cable,100,5,2
cs,cs wind,100,1,10
china wire & cable,electric wire & cable,100,5,1
daicel,daicel carp,100,4,6
china wire & cable,evertop wire cable,100,5,2
dah san electric wire & cable,electric wire & cable,100,2,1
beijing shougang,shougang,100,84,14
daeduck,daeduck electronics co ltd / new,100,1,1
be max trading,max,100,1,2
daedong,daedong metals,100,3,2
china wire & cable,hold-key electric wire & cable,100,5,1
china wire & cable,hua eng wire & cable,100,5,3
beijing automotive,beijing benz automotive,100,11,4
cummins,cummins india,100,37,1
csp - co siderurgica do pecem,csp co siderurgica do pecem,100,3,5
ansteel,ansteel group mining,100,2,1
chevron,chevron lubricants lanka,100,75,1
enel,enel distribucion peru saa,100,19,1
fujikura,fujikura kasei,100,6,4
boeing,boeing co/the,100,1,15
borealis,borealis brasil,100,2,1
agnico eagle mines,eagle,100,1,1
borouge,borouge pte,100,1,1
aichi,aichi tokei denki,100,2,1
general motors,said general motors,100,71,2
general motors,saic general motors,100,71,8
aikoku alpha,alpha,100,1,1
bosch,robert bosch,100,4,24
gem,gem services inc/tw,100,51,2
geely automobile,zhejiang geely automobile parts purchasing,100,23,1
ge power india,ge t&d india,100,65,1
aker bp asa,bp,100,10,71
ge power india,ge power systems india pvt,100,65,1
bosch,robert bosch automotive steering,100,4,1
gazprom pjsc,pjsc gazprom gazoraspredelentye ufa,100,95,1
gazprom pjsc,pjsc gazprom gazoraspredeleniye ufa,100,95,3
bp,bp castrol kk,100,71,2
gazprom nett pjsc,gazprom pjsc,100,1,95
gazprom neft pjsc,gazprom pjsc,100,1,95
beijing shougang construction,beijing shougang refractory & metallurgical burden,100,1,1
ganfeng lithium,ganfeng lithium group co lfd,100,25,5
gac toyota motor,toyota motor,100,5,176
furukawa,furukawa castec,100,5,1
bp,formosa bp chemicals,100,71,4
chaoyang shougang beijing machinery,shougang,100,1,14
fujikura kasei,fujikura kasei coating tianjin,100,4,1
fujikura,fujikura kaser coating foshan,100,6,1
alcoa,alcoa of australia,100,13,2
glencore,glencore peru sac,100,200,1
gm,gm korea,100,1,7
bmw brilliance automotive,brilliance china automotive,100,5,10
beijing shougang oxygen factory,shougang,100,1,14
hankook shell oil,shell,100,1,83
abu dhabi national oil co for distribution pjsc,national oil,100,2,1
beijing shougang construction,shougang,100,1,14
beijing shougang gitane new materials,shougang,100,1,14
acciona,corp acciona energias renovables,100,4,1
guodian technology & environment,guodian technology m environment,100,3,3
